Input sequence (ground truth),Input sequence (masked),Masked tokens,Number of masked tokens,Duplicate count
". 4XLIEFDE De verleidingskunsten van Introdans Educatief laat de harten sneller kloppen bij dansvriendjes en hun ouders. Ohad Naharin, Hans van Manen, Nils Christe en Jean-Christophe Maillot spelen een geraffineerd spel op het thema 'liefde'.",". 4XLIEFDE De verleidingskunsten van Introdans Educatief laat de harten sneller kloppen bij dansvriendjes en hun ouders. Ohad Naharin, Hans van Manen, <extra_id_0> Maillot spelen een geraffineerd spel op het thema 'liefde'.",['Nils Christe en Jean-Christophe'],5,6
Comedian Howard Komproe proeft varianten op bestaande gerechten  met iemand die weet hoe het origineel smaakt. Vandaag,Comedian Howard Komproe proeft varianten op bestaande gerechten met iemand <extra_id_0> het origineel smaakt. Vandaag,['die weet hoe'],3,6
e Wetenschappelijke Raad voor het Regeringsbeleid (WRR) en het Centraal Bureau voor de Statistiek (CBS),e Wetenschappelijke Raad voor het Regeringsbeleid (WRR) en het <extra_id_0> voor de Statistiek (CBS),['Centraal Bureau'],2,6
"1,9 terabyte aan documenten over het Europese voetbal. Der Spiegel heeft de documenten verkregen en deelde ze met","1,9 terabyte aan <extra_id_0> Europese voetbal. Der Spiegel heeft de documenten verkregen en deelde ze met",['documenten over het'],3,6
"'Het boek als kunstwerk' is een expositie van kijkboeken, gemaakt door beeldend kunstenaar Harry Vlamings. T/m 1 nov. Scryption, Spoorlaan 434a","'Het boek als kunstwerk' is een expositie van kijkboeken, gemaakt door <extra_id_0> Vlamings. T/m 1 nov. Scryption, Spoorlaan 434a",['beeldend kunstenaar Harry'],3,6
"treurt onder een beuk omdat zijn gemacht tot niets in staat blijkt, ondanks inspanningen van een bejaarde prostituee en een bronstige pater.","treurt onder een beuk omdat zijn gemacht tot niets in staat blijkt, ondanks inspanningen van <extra_id_0> en een bronstige pater.",['een bejaarde prostituee'],3,6
de filmfantasie over een jongen (Michael J. Fox) die door de tijd naar de (ironisch-nostalgisch geportretteerde) jaren vijftig reist en zijn terugkeer bijna bederft doordat hij per ongeluk de romance tussen zijn toekomstige moeder en vader dwarsboomt.,de filmfantasie over een jongen (Michael <extra_id_0> door de tijd naar de (ironisch-nostalgisch geportretteerde) jaren vijftig reist en zijn terugkeer bijna bederft doordat hij per ongeluk de romance tussen <extra_id_1> en vader dwarsboomt.,"['J. Fox) die', 'zijn toekomstige moeder']",6,6
. Joseph Fiennes speelt de toneelschrijver als een geprangd genie dat zijn inspiratie bij elkaar jatte. Toneelgekke aristocrate Gwyneth Paltrow ontpopt zich tot zijn muze.,. Joseph Fiennes <extra_id_0> een geprangd genie dat zijn inspiratie bij elkaar jatte. Toneelgekke aristocrate Gwyneth Paltrow ontpopt zich tot zijn muze.,['speelt de toneelschrijver als'],4,6
"biedt vooral fraai gefilmde meligheid, met als hoogtepunt opnames gefilmd vanuit het perspectief van een bowlingbal. In het op The Big Sleep",biedt vooral fraai <extra_id_0> als hoogtepunt opnames gefilmd vanuit het perspectief van een bowlingbal. In het op The Big Sleep,"['gefilmde meligheid, met']",3,6
dolgedraaide kidnappingsdrama slaagt de overjarige hippie The Dude (Jeff Bridges) er in even cool te zijn als Humphrey Bogarts hard,dolgedraaide kidnappingsdrama slaagt de overjarige hippie The Dude <extra_id_0> in even cool te zijn als Humphrey Bogarts hard,['(Jeff Bridges) er'],3,6
". Tragikomische jubileumvoorstelling van Het Volk waarin drie vagebonden strijden tegen de sloop van hun pand, en tegen het mannelijk overmogen.",. Tragikomische jubileumvoorstelling van Het Volk waarin drie vagebonden strijden tegen de sloop van hun <extra_id_0> het mannelijk overmogen.,"['pand, en tegen']",3,6
DE MENSENVRIEND Cabaretesk eenmanstoneel met Erik van Muiswinkel als een praatjesmaker die zichzelf op komische wijze in de nesten heeft gewerkt.,<extra_id_0> eenmanstoneel met Erik van Muiswinkel als een praatjesmaker die zichzelf op komische wijze in de nesten heeft gewerkt.,['DE MENSENVRIEND Cabaretesk'],3,6
"WIE VERMOORDDE MARY ROGERS Door Orkater. Feestelijke voorstelling, balancerend tussen kameropera en toneelstuk, over de beroemde moord op","WIE VERMOORDDE <extra_id_0> Orkater. Feestelijke voorstelling, balancerend tussen kameropera en toneelstuk, over de beroemde moord op",['MARY ROGERS Door'],3,6
"die over de zaak een verhaal schreef, wordt ervan verdacht zelf de moord te hebben gepleegd. Met Porgy Franssen, Gijs Scholten van Aschat en Peter Blok.","die over de zaak een verhaal schreef, wordt ervan <extra_id_0> te hebben gepleegd. Met Porgy Franssen, Gijs Scholten van Aschat en Peter Blok.",['verdacht zelf de moord'],4,6
. REMBRANDT WAS MIJN BUURMAN Ton Lutz als middelpunt in een filmische reeks flashbacks van Eli Asser over de oorlog en de manier waarop die tot op de dag van vandaag het leven van een joodse architect beheerst. Sober gensceneerd door het Haarlems Toneel.,. REMBRANDT WAS MIJN BUURMAN Ton Lutz als middelpunt in een filmische reeks flashbacks van Eli Asser over <extra_id_0> manier waarop die tot <extra_id_1> van vandaag het leven van een joodse architect beheerst. Sober gensceneerd door het Haarlems Toneel.,"['de oorlog en de', 'op de dag']",7,6
"Als n ding duidelijk wordt uit de chaotische, enerverende, onbevredigende en flamboyante reis door het leven van zangeres","Als n ding duidelijk wordt uit de chaotische, enerverende, onbevredigende en <extra_id_0> het leven van zangeres",['flamboyante reis door'],3,6
Voor de serie De standplaats verblijft een verslaggever langere tijd op een plek en beschrijft wat daar speelt.,Voor de serie De standplaats verblijft een verslaggever <extra_id_0> een plek en beschrijft wat daar speelt.,['langere tijd op'],3,6
door Isralische commandos toen het schip met hulpgoederen op Gaza afkoerste en weigerde om te keren.,door Isralische commandos toen het schip met hulpgoederen op Gaza afkoerste <extra_id_0> om te keren.,['en weigerde'],2,6
). Intelligente genremix tussen komische soapverdwazing en actiethriller maakt plezier over de scheiding tussen fictie en werkelijkheid. Na een posttraumatisch stress,). Intelligente genremix tussen komische soapverdwazing <extra_id_0> plezier over de scheiding tussen fictie en werkelijkheid. Na een posttraumatisch stress,['en actiethriller maakt'],3,6
"s het Complimentendag. Nou is elke dag wel een dag van iets. Sinds het jaar van de aardappel kijk ik nergens meer van op. Maar goed, de dag van de complimenten.",s het Complimentendag. Nou is elke dag wel een dag van iets. Sinds het jaar van de aardappel kijk ik nergens meer van op. <extra_id_0> van de complimenten.,"['Maar goed, de dag']",5,6
". In wat een buddy-actiekomedie wil zijn, stuit hij samen met ex-footballspeler Damon Wayans op corruptie en doodslag",". In wat <extra_id_0> zijn, stuit hij samen met ex-footballspeler Damon Wayans op corruptie en doodslag",['een buddy-actiekomedie wil'],3,6
"Platoon (Oliver Stone, 1986, VS). Persoonlijke ervaringen van Stone als soldaat in Vietnam lagen ten grondslag aan kundig gemaakte, meeslepende anti-oorlogsfilm. Even kansarme als onwetende jongens maken in junglestrijd tegen onzichtbare vijand geen deel uit van een heldhaftige massa, maar worden desondanks door Stone doeltreffend geheroseerd. Vier Oscars, waaronder die voor beste film en beste regie.","Platoon (Oliver Stone, 1986, VS). Persoonlijke ervaringen van Stone als soldaat in Vietnam lagen ten grondslag <extra_id_0> anti-oorlogsfilm. Even kansarme als onwetende jongens maken in junglestrijd tegen onzichtbare vijand geen deel uit van een heldhaftige massa, maar <extra_id_1> doeltreffend geheroseerd. Vier Oscars, waaronder die voor beste film en beste regie.","['aan kundig gemaakte, meeslepende', 'worden desondanks door Stone']",8,6
n van die moderne mengsels van fictie en non-fictie die de emotionele waarheid van een geschiedenis willen overbrengen.,n van die <extra_id_0> fictie en non-fictie die de emotionele waarheid van een geschiedenis willen overbrengen.,['moderne mengsels van'],3,6
n collega Tom Hanks bestrijden schurken als tv-dominee Christopher Plummer en seksbladenuitgever Daney Coleman.,n collega Tom Hanks bestrijden schurken als tv-dominee <extra_id_0> en seksbladenuitgever Daney Coleman.,['Christopher Plummer'],2,6
"/VS). Uitzonderlijk geslaagde, door John Cleese melancholiek geschreven komedie zet de verstikkende conventies van de very British af tegen","/VS). Uitzonderlijk geslaagde, door John Cleese <extra_id_0> zet de verstikkende conventies van de very British af tegen",['melancholiek geschreven komedie'],3,6
". The Chase (Adam Rifkin, 1994, VS). Ondermaats komisch rommelpotje waarin voortvluchtige, onschuldig veroordeelde Charlie Sheen rijkeluisdochter Kristy Swanson ontvoert en op de hielen wordt gezeten door politie en de jakhalzen van de reality-tv.",". The Chase (Adam Rifkin, 1994, VS). Ondermaats komisch rommelpotje waarin voortvluchtige, onschuldig veroordeelde Charlie Sheen rijkeluisdochter <extra_id_0> op de hielen wordt gezeten door politie en de jakhalzen van de reality-tv.",['Kristy Swanson ontvoert en'],5,6
"mensen, veelal immigranten, om hen te dwingen drugskoerier te worden. Mensen die weigeren worden vermoord. De laatste tijd zijn veel massagraven met door de kartels vermoorde mensen gevonden.","mensen, veelal immigranten, om hen te dwingen drugskoerier te worden. Mensen <extra_id_0> De laatste tijd zijn veel massagraven met door de kartels vermoorde mensen gevonden.",['die weigeren worden vermoord.'],4,6
"houdt sentimentaliteit verdienstelijk buiten de deur. Pfeiffer herkent in jochie haar eigen zoontje, dat negen jaar eerder als peuter spoorloos verdween.","houdt sentimentaliteit verdienstelijk buiten de deur. Pfeiffer herkent in <extra_id_0> zoontje, dat negen jaar eerder als peuter spoorloos verdween.",['jochie haar eigen'],3,6
", tekende voor uitzinnige klucht die twee elkaar schijnbaar uitsluitende filmgenres door de mangel haalt: de ouderwetse nazi/spionagefilm en de tienermusical uit de jaren '50-'60 rond types als Elvis Presley.",", tekende voor uitzinnige klucht die twee elkaar schijnbaar uitsluitende filmgenres <extra_id_0> de ouderwetse nazi/spionagefilm en de tienermusical uit de jaren '50-'60 rond types als Elvis Presley.",['door de mangel haalt:'],4,6
"[6.] Bij Twente is de lunch voor eigen rekening, over Luc Castaignos, [7.] Een niet te stuiten rommelaar, over de Belgische makelaar Luciano dOnofrio","<extra_id_0> de lunch voor eigen rekening, over Luc Castaignos, [7.] Een niet te stuiten rommelaar, over de Belgische makelaar Luciano dOnofrio",['[6.] Bij Twente is'],4,6
"The Big Easy (Jim McBride, 1987, VS). Misdaadfilm met Dennis Quaid die de corruptie moet bestrijden in zwoel New Orleans, in gezelschap van Ellen Barkin.","The Big Easy (Jim McBride, 1987, <extra_id_0> Quaid die de corruptie moet bestrijden in zwoel New Orleans, in gezelschap van Ellen Barkin.",['VS). Misdaadfilm met Dennis'],4,6
"State of the State is een actuele data-analyse van ons land, bedoeld om beleidsmakers en organisaties","State of the State <extra_id_0> actuele data-analyse van ons land, bedoeld om beleidsmakers en organisaties",['is een'],2,6
in het Zuid-Afrika van 1980. Conservatief zwart echtpaar (Danny Glover en Alfre Woodard) raakt ontregeld door rebellie van zoon.,in <extra_id_0> 1980. Conservatief zwart echtpaar (Danny Glover en Alfre Woodard) raakt ontregeld door rebellie van zoon.,['het Zuid-Afrika van'],3,6
"Nrc.nl maakt iedere zondag een selectie van de beste longreads, lange artikelen die op internet staan. Deze week lazen we onder meer over",Nrc.nl maakt iedere zondag een selectie van de beste <extra_id_0> die op internet staan. Deze week lazen we onder meer over,"['longreads, lange artikelen']",3,6
over film en televisie. Vragen kunt u e-mailen aan hb@nrc.nl. Iedere donderdag verschijnt een nieuwe aflevering met vragen en antwoorden,over film en televisie. Vragen kunt u e-mailen aan hb@nrc.nl. Iedere donderdag verschijnt <extra_id_0> met vragen en antwoorden,['een nieuwe aflevering'],3,6
t de Organisatie voor Economische Samenwerking en Ontwikkeling (OESO) in haar jaarlijkse rapport over,t de Organisatie voor Economische <extra_id_0> Ontwikkeling (OESO) in haar jaarlijkse rapport over,['Samenwerking en'],2,6
Zilver! t/m 31 dec 2010; Grutte Pier en andere opmerkelijke verhalen uit de Friese geschiedenis t/m 31 dec 2010; Windows Vensters op de collectie moderne en hedendaagse kunst t/m 31 dec 2010,Zilver! <extra_id_0> Grutte Pier en andere opmerkelijke verhalen uit de Friese geschiedenis t/m 31 dec 2010; Windows Vensters op de collectie moderne en hedendaagse kunst t/m 31 dec 2010,['t/m 31 dec 2010;'],5,6
". Major Payne (Nick Castle jr., 1995, VS). Damon Wayans krijgt alle ruimte in uitgelaten komedie die militarisme hekelt en humaniteit predikt. Ex-marinier annex vechtmachine ontfermt zich als burger over stel jeugdige losers. Soort remake van The Private War of Major Benson (1955",". Major Payne (Nick Castle jr., 1995, VS). Damon Wayans krijgt alle ruimte in uitgelaten komedie <extra_id_0> en humaniteit predikt. Ex-marinier annex vechtmachine ontfermt zich als burger over stel jeugdige losers. <extra_id_1> The Private War of Major Benson (1955","['die militarisme hekelt', 'Soort remake van']",6,6
"minister Edith Schippers (Volksgezondheid, VVD) en staatssecretaris Martijn van Dam (Landbouw, PvdA)","<extra_id_0> Schippers (Volksgezondheid, VVD) en staatssecretaris Martijn van Dam (Landbouw, PvdA)",['minister Edith'],2,6
gesteund weten door het besef dat velen u wijsheid toewensen en met mij om kracht en Gods zegen voor u bidden.,gesteund weten door het besef dat velen <extra_id_0> en met mij om kracht en Gods zegen voor u bidden.,['u wijsheid toewensen'],3,6
"Deceived (Damian Harris, 1991, VS). Psychologische thriller waarvan de voorspelbaarheid de toeschouwer ronduit beledigt. Restaurator Goldie Hawn trouwt met conservator John Heard,","Deceived (Damian Harris, 1991, VS). <extra_id_0> de voorspelbaarheid de toeschouwer ronduit beledigt. Restaurator Goldie Hawn trouwt met conservator John Heard,",['Psychologische thriller waarvan'],3,6
"film met vrouwen in de hoofdrollen werd een ouderwets vrolijke lachfilm. Ordinaire Bette Midler en tuttige Shelley Long gaan op zoek naar hun gemeenschappelijke, abusievelijk als vermoord beschouwde minnaar en stuiten op keihard spionage","film met vrouwen in <extra_id_0> ouderwets vrolijke lachfilm. Ordinaire Bette Midler en tuttige Shelley Long gaan op zoek naar hun gemeenschappelijke, abusievelijk als vermoord beschouwde minnaar en stuiten op keihard spionage",['de hoofdrollen werd een'],5,6
"hij 21 werd, uitgaf voor piloot, dokter en openbare aanklager en ruim een miljoen dollar aan valse cheques incasseerde.","hij 21 werd, uitgaf voor <extra_id_0> openbare aanklager en ruim een miljoen dollar aan valse cheques incasseerde.","['piloot, dokter en']",3,6
"van de anti-nucleaire martelares Karen Silkwood, die in 1974 op 28-jarige leeftijd bij een onduidelijk auto-ongeluk om het leven kwam.","van de anti-nucleaire martelares Karen Silkwood, die in 1974 op <extra_id_0> een onduidelijk auto-ongeluk om het leven kwam.",['28-jarige leeftijd bij'],3,6
"Enkele deelnemers en hun (vroegere) functie(s): Ivo Opstelten VVD-voorzitter, minister; Frans Weisglas Tweede Kamervoorzitter, VVD; Rita Verdonk minister, VVD; Wouter Bos vicepremier, PvdA; Job Cohen PvdA-leider; Jan Marijnissen SP-leider; Marja van Bijsterveldt CDA-partijvoorzitter, minister; Jack de Vries campagneleider, CDA; Ronald Srensen PVV-senator; Thom de Graaf minister, D66; Andr Rouvoet vicepremier, ChristenUnie; Paul Rosenmller GroenLinks-leider. De volledige deelnemerslijst staat op nrc.nl/politiekpanel.","Enkele deelnemers en hun (vroegere) functie(s): Ivo Opstelten VVD-voorzitter, minister; Frans Weisglas Tweede Kamervoorzitter, VVD; Rita Verdonk minister, VVD; Wouter Bos vicepremier, PvdA; Job Cohen <extra_id_0> SP-leider; Marja van Bijsterveldt CDA-partijvoorzitter, minister; Jack de Vries campagneleider, CDA; Ronald Srensen PVV-senator; Thom de Graaf minister, D66; Andr Rouvoet <extra_id_1> Rosenmller GroenLinks-leider. <extra_id_2> staat op nrc.nl/politiekpanel.","['PvdA-leider; Jan Marijnissen', 'vicepremier, ChristenUnie; Paul', 'De volledige deelnemerslijst']",9,6
Honderd jaar geleden begon de Eerste Wereldoorlog. NRC Handelsblad schrijft op deze plek maandelijks over The Great War.,Honderd jaar geleden begon de Eerste <extra_id_0> schrijft op deze plek maandelijks over The Great War.,['Wereldoorlog. NRC Handelsblad'],3,6
"The Green Mile (Frank Darabont, 1999, VS). In gevangenisdrama van de regisseur van The Shawshank Redemption wordt hoofdbewaker Tom Hanks geconfronteerd met een ter","The Green Mile (Frank Darabont, 1999, VS). In gevangenisdrama van de regisseur van The Shawshank <extra_id_0> Hanks geconfronteerd met een ter",['Redemption wordt hoofdbewaker Tom'],4,6
". Beroemde, intelligente thriller met excellente rollen van Robert Redford en Dustin Hoffman als Bob Woodward en Carl Bernstein, de verslaggevers van de Washington Post die het Watergate-schandaal aan het licht brachten.",". Beroemde, intelligente thriller met excellente rollen van Robert Redford en Dustin Hoffman <extra_id_0> Carl Bernstein, de verslaggevers van de Washington Post die het Watergate-schandaal aan het licht brachten.",['als Bob Woodward en'],5,6
"Marcel Broodthaers t/m 10 juni, Paleis voor Schone Kunsten, Brussel 00-3225078469; Panamarenko t/m 20 mei","Marcel Broodthaers t/m 10 juni, Paleis voor Schone Kunsten, <extra_id_0> Panamarenko t/m 20 mei",['Brussel 00-3225078469;'],2,6
"; Het kinderportret in de Nederlanden 1500-1700 t/m 22 april, Koninklijk Museum voor Schone Kunsten Antwerpen 00-3232420416.","; <extra_id_0> de Nederlanden 1500-1700 t/m 22 april, Koninklijk Museum voor Schone Kunsten Antwerpen 00-3232420416.",['Het kinderportret in'],3,6
betrekkelijk smaakvolle verfilming van Michael Crichtons bestseller. Afgewezen Demi Moore beschuldigt,betrekkelijk smaakvolle verfilming van <extra_id_0> bestseller. Afgewezen Demi Moore beschuldigt,['Michael Crichtons'],2,6
arbeider en wordt samen met Paulette Goddard tot een zwerversbestaan gedwongen in een onrechtvaardige wereld.,arbeider en wordt samen met <extra_id_0> tot een zwerversbestaan gedwongen in een onrechtvaardige wereld.,['Paulette Goddard'],2,6
Yorkse politieman James Woods wordt opgezadeld met een ijdele Hollywoodacteur (Michael J. Fox) die research pleegt voor,Yorkse politieman James Woods wordt opgezadeld met <extra_id_0> (Michael J. Fox) die research pleegt voor,['een ijdele Hollywoodacteur'],3,6
"de beste vermenging van animatie en speelfilmscnes ooit vertoond, leuke liedjes en Julie Andrews perfect in haar debuut als de Londense gouvernante die","de beste vermenging van animatie en speelfilmscnes ooit vertoond, leuke liedjes en Julie Andrews perfect in haar debuut als <extra_id_0> die",['de Londense gouvernante'],3,6
Tarantino-invloeden: ironische dialogen van sukkelende criminelen en ultrageweld. Altrustische boef Andy Garcia zal in opdracht van gangsterbaas Christopher Walken zo pijnlijk mogelijk worden afgeslacht.,Tarantino-invloeden: ironische dialogen van sukkelende criminelen en ultrageweld. Altrustische boef Andy Garcia zal in opdracht van gangsterbaas <extra_id_0> mogelijk worden afgeslacht.,['Christopher Walken zo pijnlijk'],4,6
). Besluiteloze remake van Karl Freunds gelijknamige griezelfilm uit 1932 (met Boris Karloff) wil zowel ironisch als bloedernstig zijn en werd een,). Besluiteloze remake van Karl Freunds gelijknamige griezelfilm uit 1932 (met Boris Karloff) <extra_id_0> als bloedernstig zijn en werd een,['wil zowel ironisch'],3,6
"Primary Colors (Mike Nichols, 1998, VS). Idealisme en ontgoocheling, donuts en campagneseks zijn de voornaamste bestanddelen van de politieke satire naar de gelijknamige bestseller","Primary Colors (Mike <extra_id_0> en ontgoocheling, donuts en campagneseks zijn de voornaamste bestanddelen van de politieke satire naar de gelijknamige bestseller","['Nichols, 1998, VS). Idealisme']",4,6
"Oh mijn god! Er zijn zo verschrikkelijk veel soorten courgettes. En ze hebben ook nog eens namen als: Fairy F1, Early Prolific Straightneck, Early Summer Crookneck","Oh mijn god! Er zijn zo verschrikkelijk veel soorten courgettes. En ze <extra_id_0> namen als: Fairy F1, Early Prolific Straightneck, Early Summer Crookneck",['hebben ook nog eens'],4,6
In aanloop naar de Statenverkiezingen van 18 maart bezoeken twee verslaggevers de twaalf provincies en tekenen alledaagse zorgen van de kiezer op.,In aanloop naar de Statenverkiezingen van 18 maart bezoeken <extra_id_0> twaalf provincies en tekenen alledaagse zorgen van de kiezer op.,['twee verslaggevers de'],3,6
in NRC Handelsblad. Of lees het artikel vanaf 15.00 uur in de digitale editie (alleen voor abonnees),in NRC Handelsblad. Of lees het artikel vanaf 15.00 uur in <extra_id_0> (alleen voor abonnees),['de digitale editie'],3,6
Economie & recht Deze rubriek belicht elke week kwesties uit het bedrijfsleven waarover de rechter zich onlangs uitsprak. Ditmaal:,Economie & recht Deze rubriek belicht elke week kwesties uit het bedrijfsleven waarover de rechter zich <extra_id_0>,['onlangs uitsprak. Ditmaal:'],3,6
"Jong 2009 tien van tegenwoordig t/m 3 jan; Lekker Fris! 100 jaar gezondheid, schoonheid en fatsoen t/m 25 okt","Jong 2009 tien van tegenwoordig t/m 3 jan; <extra_id_0> jaar gezondheid, schoonheid en fatsoen t/m 25 okt",['Lekker Fris! 100'],3,6
"The Artist geldt als een Oscarkandidaat in meerdere categorien, waaronder beste acteur: Jean Dujardin als zelfingenomen held van de stille film George Valentin.","The Artist geldt als een Oscarkandidaat in meerdere categorien, waaronder <extra_id_0> Dujardin als zelfingenomen held van de stille film George Valentin.",['beste acteur: Jean'],3,6
"n foto SBS vrij van rechten mits gebruikt ter illustratie van het programma foto vrij van rechten mits gebruikt ter illustratie van het programma Bij publicatie is de creditregel Foto SBS verplicht. Dit beeld mag niet worden opgeslagen en moet na gebruik vernietigd worden. This picture is for one time publication only, it may not be stored by no matter of means and must be destroyed after use. Creditline: Foto SBS is compulsory. SBS",n foto SBS vrij van rechten mits gebruikt ter illustratie van het programma foto vrij van rechten mits gebruikt <extra_id_0> programma Bij publicatie is de creditregel Foto SBS verplicht. <extra_id_1> niet worden opgeslagen en moet na gebruik vernietigd worden. This picture is for one time <extra_id_2> not be stored by no matter of means and must be destroyed after use. Creditline: Foto SBS is compulsory. SBS,"['ter illustratie van het', 'Dit beeld mag', 'publication only, it may']",11,6
"BI Takeshi Kitano's zevende film toont de naar binnen gekeerde blik van een ex-rechercheur die zich op het criminele pad begeeft om met zijn stervende vrouw een laatste reis te maken en een invalide collega van schildersmateriaal te voorzien. Gewelddadige scnes voltrekken zich vaak in doffe stilte en worden afgewisseld met felgekleurde schilderijen, zonder dat er van gemakkelijke, banale contrasten gesproken kan worden.","BI Takeshi Kitano's zevende film toont de naar binnen gekeerde blik van een <extra_id_0> op het criminele pad begeeft <extra_id_1> stervende vrouw een laatste reis te maken en een invalide collega van schildersmateriaal te voorzien. Gewelddadige scnes voltrekken zich vaak in doffe stilte en worden afgewisseld met felgekleurde schilderijen, zonder dat er <extra_id_2> contrasten gesproken kan worden.","['ex-rechercheur die zich', 'om met zijn', 'van gemakkelijke, banale']",9,6
". PRISONERS OF THE MOUNTAINS (Check prisoner of prisoners) Door droge ironie en genuanceerd oog voor een eeuwenoude cultuurkloof gekenmerkt, in de verte door Tolstoj genspireerd avonturenverhaal uit de meest recente Russisch-Tsjetsjeense oorlog. Islamitisch dorpshoofd gijzelt twee Russische militairen om zijn zoon uit krijgsgevangenschap te ontzetten. Film van in Amerika wonende, Russische regisseur Sergei Bodrov werd voor een Oscar genomineerd.",". PRISONERS OF THE MOUNTAINS <extra_id_0> prisoners) Door droge ironie en genuanceerd oog <extra_id_1> cultuurkloof gekenmerkt, in de verte door Tolstoj genspireerd avonturenverhaal uit de meest recente Russisch-Tsjetsjeense oorlog. <extra_id_2> twee Russische militairen om zijn zoon uit krijgsgevangenschap te ontzetten. Film van in Amerika wonende, Russische regisseur Sergei Bodrov werd voor een Oscar genomineerd.","['(Check prisoner of', 'voor een eeuwenoude', 'Islamitisch dorpshoofd gijzelt']",9,6
"u. Metro (Thomas Carter, 1997, VS). Eddie Murphy als rap van de tongriem gesneden politieman die het recht in eigen hand neemt in razende aaneenschakeling van achtervolgingen en explosies.","u. Metro (Thomas Carter, 1997, VS). Eddie Murphy als rap van de tongriem gesneden politieman die het recht in eigen hand <extra_id_0> van achtervolgingen en explosies.",['neemt in razende aaneenschakeling'],4,6
"ong. Jean-Claude Van Damme versus zieke Lance Henriksen die jachtpartijen organiseert op dakloze oorlogsveteranen. BBC1,","ong. Jean-Claude Van Damme versus zieke <extra_id_0> die jachtpartijen organiseert op dakloze oorlogsveteranen. BBC1,",['Lance Henriksen'],2,6
"Kinderen op hun mooist. Het kinderportret in de Nederlanden 1500-1700 t/m 31 dec in het Frans Halsmuseum, Gro","Kinderen op hun mooist. Het kinderportret in <extra_id_0> t/m 31 dec in het Frans Halsmuseum, Gro",['de Nederlanden 1500-1700'],3,6
"ijn ervaringen lagen ten grondslag aan de filosofische onderlaag van de film, die gaat om het absurdisme van o","ijn ervaringen lagen ten grondslag aan de filosofische <extra_id_0> film, die gaat om het absurdisme van o",['onderlaag van de'],3,6
"een romantische film die de ontluikende liefde laat zien tussen Victoria en de man die ze in 1840 trouwt, prins Albert (Rupert Friend).",een romantische film die de ontluikende liefde laat zien tussen Victoria en de man die ze <extra_id_0> prins Albert (Rupert Friend).,"['in 1840 trouwt,']",3,6
". De Togacolumn wordt afwisselend geschreven door een advocaat, een vertegenwoordiger van het Openbaar Ministerie en een rechter. Volgende",. De Togacolumn wordt afwisselend geschreven door <extra_id_0> vertegenwoordiger van het Openbaar Ministerie en een rechter. Volgende,"['een advocaat, een']",3,6
"Nutty Professor II: The Klumps (Peter Segal, 2000, VS). Eddie Murphy dwingt respect af met liefst acht rollen in overigens plat vervolg op remake van komediehit met Jerry Lewis uit 1963. Janet Jackson is de geliefde van de dikke professor","Nutty Professor II: The Klumps (Peter Segal, <extra_id_0> Murphy dwingt respect af met liefst acht <extra_id_1> plat vervolg op remake van komediehit met Jerry Lewis uit 1963. Janet Jackson is de geliefde van de dikke professor","['2000, VS). Eddie', 'rollen in overigens']",6,6
"d Emmerich, 1996, VS). Grootscheepse rampenfilm. Vijandig buitenaards leven brandt Washington, New York en L","d Emmerich, 1996, VS). <extra_id_0> Vijandig buitenaards leven brandt Washington, New York en L",['Grootscheepse rampenfilm.'],2,6
". Net als in Kaos baseerden Paolo en Vittorio Taviani zich op personages uit de Siciliaanse novellen van Pirandello voor dit tweeluik over de onontkoombaarheid van een gewelddadige dood. Kunst en wetenschap bieden troost, in meesterlijk vormgegeven en intensief geobserveerde details. Amsterdam: Desmet.",". Net als in Kaos baseerden Paolo en Vittorio <extra_id_0> personages uit de Siciliaanse novellen van <extra_id_1> tweeluik over de onontkoombaarheid van een gewelddadige dood. Kunst en wetenschap bieden troost, in meesterlijk vormgegeven en intensief geobserveerde details. Amsterdam: Desmet.","['Taviani zich op', 'Pirandello voor dit']",6,6
"s Millions (Walter Hill, 1985, VS). Zevende verfilming van klassieke roman van George Barr McCutcheon is een schreeuwerige komedie waarin Richard Pryor schmiert als een baseballspeler die 300 miljoen dollar erft, op voorwaarde dat hij tien procent daarvan binnen n maand zinnig weet te besteden.","s Millions (Walter Hill, 1985, VS). Zevende verfilming van klassieke roman van George Barr McCutcheon is een schreeuwerige komedie waarin Richard <extra_id_0> een baseballspeler die 300 miljoen dollar erft, op voorwaarde dat hij <extra_id_1> n maand zinnig weet te besteden.","['Pryor schmiert als', 'tien procent daarvan binnen']",7,6
". Nick of Time (John Badham, 1995, VS). Johnny Depp moet binnen anderhalf uur een moord plegen om te voorkomen dat zijn gekidnapte dochtertje door Christopher Walken wordt gedood. Originele en beklemmende thriller",". Nick of Time (John Badham, 1995, VS). Johnny Depp moet binnen anderhalf uur een <extra_id_0> voorkomen dat zijn gekidnapte dochtertje door Christopher Walken wordt gedood. Originele en beklemmende thriller",['moord plegen om te'],5,6
Tijdens de Boekenweek kiest in deze krant elke dag een schrijver een Nederlandstalige collega-auteur uit en doet hem of haar een boek cadeau. Als,Tijdens de Boekenweek kiest <extra_id_0> dag een schrijver een Nederlandstalige collega-auteur uit en doet hem of haar een boek cadeau. Als,['in deze krant elke'],4,6
